Date,Close,Adj Close,Volume,High,Low,SMA,MACD,upper_band,middle_band,lower_band,supertrend_signal,RSI,aroon_up,aroon_down,kicking,upper_band_supertrend,lower_band_supertrend
2012-08-16,22.726429,19.372938,254534000,22.741428,22.517857,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.741428,22.517857
2012-08-17,23.146786,19.731262,442761200,23.149643,22.814644,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,23.149643,22.814644
2012-08-20,23.755358,20.25004,613384800,23.755358,23.210714,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,23.755358,23.210714
2012-08-21,23.430714,19.973299,812719600,24.102858,23.22607,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,24.102858,23.22607
2012-08-22,23.888214,20.363287,565322800,23.892857,23.146786,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.892857,23.146786
2012-08-23,23.665358,20.173319,420128800,23.924999,23.612499,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.924999,23.612499
2012-08-24,23.686428,20.191282,437340400,23.91,23.4125,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.91,23.4125
2012-08-27,24.13143,20.570612,427008400,24.316786,24.055,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.316786,24.055
2012-08-28,24.1,20.543821,267416800,24.146429,23.952499,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.146429,23.952499
2012-08-29,24.0525,20.503334,202806800,24.202499,24.021429,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.202499,24.021429
2012-08-30,23.709642,20.211067,302699600,23.983929,23.673214,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.983929,23.673214
2012-08-31,23.758572,20.252773,338321200,23.878571,23.473213,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.878571,23.473213
2012-09-04,24.106071,20.548998,367892000,24.112143,23.732143,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,24.112143,23.732143
2012-09-05,23.936787,20.404692,336375200,24.155357,23.914286,23.721020642857145,0.0,0.0,0.0,0.0,1,63.23834800939664,0.0,0.0,0.0,0.0,0.0
2012-09-06,24.1525,20.588579,391196400,24.224644,23.957144,23.822882857142854,0.0,0.0,0.0,0.0,0,66.87146778826332,0.0,0.0,0.0,0.0,0.0
2012-09-07,24.30143,20.715532,329666400,24.374287,24.134644,23.905357428571428,0.0,0.0,0.0,0.0,1,69.13915457795729,0.0,0.0,0.0,0.0,0.0
